Scan#: 1	ScanningTime: ,00	#APsFound: 16	DB: 0.0	Date: Mon Jun 01 12:58:49 GMT+01:00 2015
37.9749703	23.7271692	-92	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749703	23.7271692	-97	2412	00:1e:52:78:94:dc	Epsilon World
37.9749703	23.7271692	-97	2412	4c:09:b4:a4:eb:cf	Pandora
37.9749703	23.7271692	-95	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9749703	23.7271692	-98	2462	24:a4:3c:99:ad:e3	Desconocido
Scan#: 11	ScanningTime: 3,64	#APsFound: 12	DB: 41.0	Date: Mon Jun 01 12:59:27 GMT+01:00 2015
37.9749911	23.7272438	-81	2437	00:1d:aa:c4:22:c0	Centrale
37.9749911	23.7272438	-78	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749911	23.7272438	-80	2442	4c:5e:0c:60:22:99	Intranet
37.9749911	23.7272438	-82	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749911	23.7272438	-81	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749911	23.7272438	-83	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749911	23.7272438	-85	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749911	23.7272438	-89	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9749911	23.7272438	-93	2462	24:a4:3c:99:ad:e3	Desconocido
37.9749911	23.7272438	-85	2432	20:89:86:03:68:38	HOL_ZTE_4
37.9749911	23.7272438	-96	2437	78:54:2e:f8:a4:48	nic
37.9749911	23.7272438	-96	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
Scan#: 12	ScanningTime: 3,65	#APsFound: 13	DB: 42.0	Date: Mon Jun 01 12:59:30 GMT+01:00 2015
37.9749938	23.7272898	-82	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9749938	23.7272898	-85	2442	4c:5e:0c:60:22:99	Intranet
37.9749938	23.7272898	-83	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9749938	23.7272898	-88	2412	54:22:f8:c6:0f:0c	Karyatis
37.9749938	23.7272898	-81	2437	00:de:fa:15:c0:01	TERINA CAFE
37.9749938	23.7272898	-80	2462	9c:97:26:be:4a:c7	Forthnet-BE4AC7
37.9749938	23.7272898	-98	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9749938	23.7272898	-84	2437	78:54:2e:f8:a4:48	nic
37.9749938	23.7272898	-92	2412	28:92:4a:c3:ec:7c	HP-Print-7C-Officejet Pro 8600
37.9749938	23.7272898	-90	2452	cc:1a:fa:98:e4:b8	Deluxe_Wifi
37.9749938	23.7272898	-94	2462	00:12:ef:5f:6c:e5	Terina
37.9749938	23.7272898	-94	2412	2a:a4:3c:a3:62:37	Le Bjur
37.9749938	23.7272898	-96	2412	4c:09:b4:a4:eb:cf	Pandora
Scan#: 13	ScanningTime: 3,62	#APsFound: 9	DB: 43.0	Date: Mon Jun 01 12:59:34 GMT+01:00 2015
